0.17	-0.1139	-0.1139	-1.1221e-06	4.002e+24	2e+27	293.13	58847	41374	82.79	1200	-0.066034	-0.046427	-9.29e-05	-0.0013466
0.175	-0.11725	-0.11725	-1.1656e-06	4.0022e+24	2e+27	293.14	57940	41372	82.79	1200	-0.067533	-0.048222	-9.6497e-05	-0.0013987
0.18	-0.1206	-0.1206	-1.2095e-06	4.0023e+24	2e+27	293.15	57060	41371	82.79	1200	-0.069012	-0.050036	-0.00010013	-0.0014514
0.185	-0.12395	-0.12395	-1.2538e-06	4.0025e+24	2e+27	293.16	56208	41369	82.79	1200	-0.070473	-0.051868	-0.0001038	-0.0015046
0.19	-0.1273	-0.1273	-1.2986e-06	4.0026e+24	2e+27	293.17	55382	41368	82.79	1200	-0.071916	-0.053718	-0.00010751	-0.0015583
0.195	-0.13065	-0.13065	-1.3437e-06	4.0028e+24	2e+27	293.18	54580	41366	82.79	1200	-0.073342	-0.055585	-0.00011125	-0.0016125
0.2	-0.134	-0.134	-1.3893e-06	4.003e+24	2e+27	293.19	53802	41364	82.79	1200	-0.074749	-0.057468	-0.00011502	-0.0016672
0.205	-0.13735	-0.13735	-1.4353e-06	4.0032e+24	2e+27	293.21	53047	41362	82.79	1200	-0.07614	-0.059368	-0.00011883	-0.0017224
0.21	-0.1407	-0.1407	-1.4817e-06	4.0033e+24	2e+27	293.22	52314	41360	82.79	1200	-0.077515	-0.061285	-0.00012267	-0.0017781
0.215	-0.14405	-0.14405	-1.5285e-06	4.0035e+24	2e+27	293.23	51601	41358	82.79	1200	-0.078873	-0.063217	-0.00012655	-0.0018342
0.22	-0.1474	-0.1474	-1.5757e-06	4.0037e+24	2e+27	293.24	50908	41356	82.79	1200	-0.080215	-0.065164	-0.00013045	-0.0018908
0.225	-0.15075	-0.15075	-1.6232e-06	4.004e+24	2e+27	293.26	50234	41354	82.79	1200	-0.081541	-0.067127	-0.00013439	-0.0019479
0.23	-0.1541	-0.1541	-1.6711e-06	4.0042e+24	2e+27	293.27	49578	41352	82.79	1200	-0.082852	-0.069104	-0.00013835	-0.0020054
0.235	-0.15745	-0.15745	-1.7194e-06	4.0044e+24	2e+27	293.28	48940	41349	82.79	1200	-0.084148	-0.071096	-0.00014235	-0.0020633
